analysis_id	server	history_id	tool_id	tool_version	input_dataset_id	output_summary_dataset_id	output_table_dataset_id	parameters	status_at_2026_07_14	local_output
nematode_full_deepsig	https://usegalaxy.eu	11ac94870d0bb33a9e0c2e77252abdfe	toolshed.g2.bx.psu.edu/repos/iuc/deepsig/deepsig/1.2.5+galaxy0	1.2.5+galaxy0	26c75dcccb616ac802c511029e14bc2f	26c75dcccb616ac8cbf443059c4f1d72	NA	organism=euk;output_format=gff3	ok	data/interim/nematode_full_proteome_deepsig.gff3
nematode_full_tmhmm	https://usegalaxy.eu	11ac94870d0bb33a9e0c2e77252abdfe	toolshed.g2.bx.psu.edu/repos/peterjc/tmhmm_and_signalp/tmhmm2/0.0.17	0.0.17	26c75dcccb616ac802c511029e14bc2f	26c75dcccb616ac82cb6dfdfe8a423de	NA	protein_mode	ok	data/interim/nematode_full_proteome_tmhmm.tsv
busco_pabi	https://usegalaxy.eu	11ac94870d0bb33a8d7ac5d0a70cfaa4	toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.8.0+galaxy2	5.8.0+galaxy2	26c75dcccb616ac8f323f09cc78afc76	26c75dcccb616ac81d573111044bde45	26c75dcccb616ac84afd6f740495877e	mode=prot;lineage=embryophyta_odb10;cached_db=all+2024-03-21-114020	ok	data/interim/busco/pabi.short_summary.txt
busco_pden	https://usegalaxy.eu	11ac94870d0bb33a8d7ac5d0a70cfaa4	toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.8.0+galaxy2	5.8.0+galaxy2	26c75dcccb616ac82315409c8b665c29	26c75dcccb616ac86c1affc533ff3ee0	26c75dcccb616ac80bb28fdcb3d1e668	mode=prot;lineage=embryophyta_odb10;cached_db=all+2024-03-21-114020	ok	data/interim/busco/pden.short_summary.txt
busco_plam	https://usegalaxy.eu	11ac94870d0bb33a8d7ac5d0a70cfaa4	toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.8.0+galaxy2	5.8.0+galaxy2	26c75dcccb616ac86e49ba8c274e6596	26c75dcccb616ac8fcc0ad8a0e4b0fd4	26c75dcccb616ac8bdb64ee0adec009c	mode=prot;lineage=embryophyta_odb10;cached_db=all+2024-03-21-114020	ok	data/interim/busco/plam.short_summary.txt
busco_plon	https://usegalaxy.eu	11ac94870d0bb33a8d7ac5d0a70cfaa4	toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.8.0+galaxy2	5.8.0+galaxy2	26c75dcccb616ac8317458bcad2b4aca	26c75dcccb616ac8632c73e400d05bfe	26c75dcccb616ac884d254201d9c7aaa	mode=prot;lineage=embryophyta_odb10;cached_db=all+2024-03-21-114020	ok	data/interim/busco/plon.short_summary.txt
busco_pmas	https://usegalaxy.eu	11ac94870d0bb33a8d7ac5d0a70cfaa4	toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.8.0+galaxy2	5.8.0+galaxy2	26c75dcccb616ac8774646d7e5ad3c0b	26c75dcccb616ac8b40df9dae2824fe7	26c75dcccb616ac8a8e5ed1d004f3d4a	mode=prot;lineage=embryophyta_odb10;cached_db=all+2024-03-21-114020	ok	data/interim/busco/pmas.short_summary.txt
busco_ptab	https://usegalaxy.eu	11ac94870d0bb33a8d7ac5d0a70cfaa4	toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.8.0+galaxy2	5.8.0+galaxy2	26c75dcccb616ac8d62941b2a2b7f9b4	26c75dcccb616ac8cac1c8ef312ac4c2	26c75dcccb616ac8c299b266a7933aa9	mode=prot;lineage=embryophyta_odb10;cached_db=all+2024-03-21-114020	ok	data/interim/busco/ptab.short_summary.txt
busco_ptae	https://usegalaxy.eu	11ac94870d0bb33a8d7ac5d0a70cfaa4	toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.8.0+galaxy2	5.8.0+galaxy2	26c75dcccb616ac88b47f9ea8a50402e	26c75dcccb616ac8867b6947bdbd8a16	26c75dcccb616ac865da48c2b90c2a77	mode=prot;lineage=embryophyta_odb10;cached_db=all+2024-03-21-114020	ok	data/interim/busco/ptae.short_summary.txt
nematode_standard_secretome_interproscan	https://usegalaxy.eu	11ac94870d0bb33a9c96fc2758af4c57	toolshed.g2.bx.psu.edu/repos/bgruening/interproscan/interproscan/5.59-91.0+galaxy3	5.59-91.0+galaxy3	26c75dcccb616ac8ecfd2e3f96a00558	NA	26c75dcccb616ac815051610357b6083	seqtype=p;database=5.59-91.0;applications=FunFam,SFLD,SUPERFAMILY,PANTHER,Gene3D,PrositeProfiles,SMART,CDD,PRINTS,PIRSR,PrositePatterns,AntiFam,Pfam,MobiDBLite,PIRSF;pathways=true;goterms=true;iprlookup=true;oformat=TSV	ok	data/interim/nematode_standard_secretome_interproscan.tsv
